id,name,code,account_type,chart_template_id/id,reconcile
lb_10,رأس المال,10,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_101,رأس المال ( للشركة أو للشخص),101,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10110,رأس المال المكتتب غير المستدعى,10110,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10120,"رأس المال المكتتب، المستدعى وغير المدفوع",10120,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10130,"رأس المال المكتتب، المستدعى والمدفوع",10130,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_102,علاوات اصدار واندماج والمقدمات,102,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10210,علاوات اصدار,10210,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10220,علاوات اندماج,10220,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10230,علاوات المقدمات,10230,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10240,علاوات تحول السندات الى أسھم,10240,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_103,فروقات إعادة التخمين,103,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10310,فروقات إعادة تخمين الأصول الثابتة الغير قابلة للإستھلاك,10310,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10350,فروقات إعادة تخمين الأصول الثابتة القابلة للإستھلاك,10350,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_109,الحساب الشخصي لصاحب المؤسسة,109,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10910,الحساب الشخصي لصاحب المؤسسة,10910,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10920,نتائج سابقة مدورة - أرباح,10920,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_10930,نتائج سابقة مدورة - خسائر,10930,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_11,الإحتياطيات,11,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_111,إحتاطي قانوني,111,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_112,إحتاطيات نظامية وتعاقدية,112,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_119,إحتياطيات أخرى,119,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_12,نتائج سابقة مدورة,12,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_121,نتائج سابقة مدورة دائنة,121,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_12110,نتائج سابقة مدورة - أرباح,12110,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_12120,تعديلات على نتائج سابقة مدورة - أرباح,12120,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_125,نتائج سابقة مدورة مدينة,125,equity,l10n_lb.lb_chart_template_standard,FALSE
lb_12510,نتائج سابقة مدورة - خسائر,12510,equity,l10n_lb.lb_chart_template_standard,FALSE
